Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-09-30,175619,333
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-08-31,242454,334
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-07-31,240051,335
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-06-30,262062,336
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-05-31,187397,337
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-04-30,110748,338
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-03-31,62997,339
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-02-28,47551,340
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-01-31,35211,341
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-09-30,1502135,342
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-08-31,1698031,343
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-07-31,1707329,344
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-06-30,1596559,345
