Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones,Población,Latitud,Longitud,ID_latitud_longitud
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2019-10-01 00:00:00,147884,6764,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2019-09-01 00:00:00,456806,6765,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2019-08-01 00:00:00,823539,6766,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2019-07-01 00:00:00,719425,6767,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2019-06-01 00:00:00,435172,6768,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2019-05-01 00:00:00,255142,6769,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2019-04-01 00:00:00,301825,6770,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2019-03-01 00:00:00,235594,6771,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2019-02-01 00:00:00,121621,6772,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2019-01-01 00:00:00,67570,6773,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2019-12-01 00:00:00,32133,6774,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2019-11-01 00:00:00,51899,6775,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2019-10-01 00:00:00,150382,6776,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2019-09-01 00:00:00,250420,6777,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2019-08-01 00:00:00,268603,6778,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2019-07-01 00:00:00,244234,6779,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2019-06-01 00:00:00,237557,6780,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2019-05-01 00:00:00,166683,6781,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2019-04-01 00:00:00,84417,6782,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2019-03-01 00:00:00,65815,6783,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2019-02-01 00:00:00,52701,6784,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2019-01-01 00:00:00,40170,6785,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2018-12-01 00:00:00,125957,8550,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2018-11-01 00:00:00,160584,8551,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2018-10-01 00:00:00,387458,8552,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2018-09-01 00:00:00,738889,8553,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2018-08-01 00:00:00,1073768,8554,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2018-07-01 00:00:00,966677,8555,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2018-06-01 00:00:00,670802,8556,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2018-05-01 00:00:00,443239,8557,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2018-04-01 00:00:00,381355,8558,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2018-03-01 00:00:00,336916,8559,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2018-02-01 00:00:00,177060,8560,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2018-01-01 00:00:00,107725,8561,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2018-12-01 00:00:00,94660,8562,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2018-11-01 00:00:00,111217,8563,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2018-10-01 00:00:00,200189,8564,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2018-09-01 00:00:00,467722,8565,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2018-08-01 00:00:00,785951,8566,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2018-07-01 00:00:00,698663,8567,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2018-06-01 00:00:00,413874,8568,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2018-05-01 00:00:00,265718,8569,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2018-04-01 00:00:00,296926,8570,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2018-03-01 00:00:00,266817,8571,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2018-02-01 00:00:00,118696,8572,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2018-01-01 00:00:00,69310,8573,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2018-12-01 00:00:00,31297,8574,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2018-11-01 00:00:00,49367,8575,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2018-10-01 00:00:00,187269,8576,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2018-09-01 00:00:00,271167,8577,190013,36.83892362,-2.46413188,3
