Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-06-01,262062
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-05-01,187397
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-04-01,110748
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-03-01,62997
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-02-01,47551
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2023-01-01,35211
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-09-01,1502135
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-08-01,1698031
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-07-01,1707329
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-06-01,1596559
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-05-01,1320461
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-04-01,666116
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-03-01,170740
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-02-01,81322
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2023-01-01,40344
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2023-09-01,511139
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2023-08-01,576933
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2023-07-01,568686
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2023-06-01,504340
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2023-05-01,479308
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2023-04-01,534596
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2023-03-01,525661
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2023-02-01,486200
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2023-01-01,467300
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2023-09-01,127488
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2023-08-01,166697
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2023-07-01,155820
