Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-08-31,80277,289
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-07-31,71941,290
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-06-30,60152,291
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-05-31,72106,292
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-04-30,56453,293
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-03-31,51011,294
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-02-28,39460,295
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-01-31,36882,296
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-09-30,471324,297
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-08-31,673183,298
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-07-31,578794,299
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-06-30,399819,300
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-05-31,306803,301
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-04-30,348636,302
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-03-31,202782,303
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-02-28,151671,304
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-01-31,130417,305
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-09-30,362333,306
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-08-31,566540,307
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-07-31,482604,308
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-06-30,302059,309
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-05-31,222052,310
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-04-30,295511,311
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-03-31,168202,312
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-02-28,129073,313
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-01-31,110246,314
